Rep,Date,Trt,GY,HI
1,D1,T1,4.68,47.02950398
1,D1,T2,6.39,56.20883297
1,D1,T3,6.59,62.33352503
1,D1,T4,6.52,54.49828147
1,D1,T5,5.8,54.16187303
1,D1,T6,5.92,49.76964724
1,D1,T7,5.66,51.25994407
1,D1,T8,5.55,49.41380096
1,D2,T1,3.21,30.80259471
1,D2,T2,4.16,35.44745596
1,D2,T3,4.87,45.41317598
1,D2,T4,4.69,44.07695893
1,D2,T5,3.82,40.27224884
1,D2,T6,4.2,40.42846472
1,D2,T7,3.45,40.71776569
1,D2,T8,3.52,36.9146098
2,D1,T1,4.31,40.68033375
2,D1,T2,5.72,54.57057158
2,D1,T3,5.21,48.14587553
2,D1,T4,5.91,63.62501077
2,D1,T5,5.44,51.54834553
2,D1,T6,5.14,47.06063314
2,D1,T7,4.42,45.9344862
2,D1,T8,4.85,54.10337873
2,D2,T1,2.7,28.86539744
2,D2,T2,3.84,36.39838027
2,D2,T3,4.7,41.2379094
2,D2,T4,4.24,40.12901858
2,D2,T5,3.16,35.72300652
2,D2,T6,4.05,38.90400221
2,D2,T7,3.34,38.29502302
2,D2,T8,3.43,38.05327014
3,D1,T1,3.98,46.04903876
3,D1,T2,4.88,42.10555379
3,D1,T3,5.14,50.35148076
3,D1,T4,4.78,47.62853727
3,D1,T5,5.36,48.34578057
3,D1,T6,4.12,41.60741986
3,D1,T7,4.3,54.51429035
3,D1,T8,4.26,41.22506174
3,D2,T1,2.43,26.64380197
3,D2,T2,3.18,30.80559538
3,D2,T3,4.25,48.43194457
3,D2,T4,4.12,37.87600206
3,D2,T5,3.11,28.57909517
3,D2,T6,4.04,35.83746115
3,D2,T7,3.27,45.31194573
3,D2,T8,3.14,32.21702372
